Date,18MF.DE
2017-01-02,4.305970191955566
2017-01-03,4.321969985961914
2017-01-04,4.3427300453186035
2017-01-05,4.224999904632568
2017-01-06,4.301330089569092
2017-01-09,4.289730072021484
2017-01-10,4.292600154876709
2017-01-11,4.3096699714660645
2017-01-12,4.163730144500732
2017-01-13,4.2695698738098145
2017-01-16,4.257299900054932
2017-01-17,4.164599895477295
2017-01-18,4.1861701011657715
2017-01-19,4.22307014465332
2017-01-20,4.206470012664795
2017-01-23,4.1144700050354
2017-01-24,4.148129940032959
2017-01-25,4.228630065917969
2017-01-26,4.311999797821045
2017-01-27,4.2700700759887695
2017-01-30,4.188729763031006
2017-01-31,4.0977702140808105
2017-02-01,4.159729957580566
2017-02-02,4.139570236206055
2017-02-03,4.211269855499268
2017-02-06,4.245570182800293
2017-02-07,4.283030033111572
2017-02-08,4.276199817657471
2017-02-09,4.358369827270508
2017-02-10,4.390369892120361
2017-02-13,4.47806978225708
2017-02-14,4.50806999206543
2017-02-15,4.551630020141602
2017-02-16,4.485799789428711
2017-02-17,4.521969795227051
2017-02-20,4.576099872589111
2017-02-21,4.662899971008301
2017-02-22,4.672699928283691
2017-02-23,4.632530212402344
2017-02-24,4.619029998779297
2017-02-27,4.6251301765441895
2017-02-28,4.626699924468994
2017-03-01,4.779729843139648
2017-03-02,4.777430057525635
2017-03-03,4.71737003326416
2017-03-06,4.666299819946289
2017-03-07,4.664030075073242
2017-03-08,4.6921000480651855
2017-03-09,4.6527299880981445
2017-03-10,4.601500034332275
2017-03-13,4.602869987487793
2017-03-14,4.587069988250732
2017-03-15,4.649330139160156
2017-03-16,4.579370021820068
2017-03-17,4.580999851226807
2017-03-20,4.557030200958252
2017-03-21,4.414400100708008
2017-03-22,4.39123010635376
2017-03-23,4.452229976654053
2017-03-24,4.404630184173584
2017-03-27,4.297130107879639
2017-03-28,4.363969802856445
2017-03-29,4.481400012969971
2017-03-30,4.544370174407959
2017-03-31,4.568069934844971
2017-04-03,4.5322699546813965
2017-04-04,4.557529926300049
2017-04-05,4.611130237579346
2017-04-06,4.5790300369262695
2017-04-07,4.593400001525879
2017-04-10,4.617070198059082
2017-04-11,4.532670021057129
2017-04-12,4.545000076293945
2017-04-13,4.550099849700928
2017-04-18,4.460969924926758
2017-04-19,4.492430210113525
2017-04-20,4.438570022583008
2017-04-21,4.5113301277160645
2017-04-24,4.446599960327148
2017-04-25,4.450900077819824
2017-04-26,4.537300109863281
2017-04-27,4.503970146179199
2017-04-28,4.467299938201904
2017-05-02,4.478000164031982
2017-05-03,4.4550299644470215
2017-05-04,4.449570178985596
2017-05-05,4.41903018951416
2017-05-08,4.488430023193359
2017-05-09,4.536630153656006
2017-05-10,4.542329788208008
2017-05-11,4.51039981842041
2017-05-12,4.475269794464111
2017-05-15,4.472529888153076
2017-05-16,4.385169982910156
2017-05-17,4.2322998046875
2017-05-18,4.224569797515869
2017-05-19,4.234230041503906
2017-05-22,4.2324700355529785
2017-05-23,4.254469871520996
2017-05-24,4.312399864196777
2017-05-25,4.326769828796387
2017-05-26,4.363770008087158
2017-05-29,4.372399806976318
2017-05-30,4.351369857788086
2017-05-31,4.288129806518555
2017-06-01,4.351799964904785
2017-06-02,4.363100051879883
2017-06-06,4.362269878387451
2017-06-07,4.370100021362305
2017-06-08,4.402329921722412
2017-06-09,4.467700004577637
2017-06-12,4.373970031738281
2017-06-13,4.41802978515625
2017-06-14,4.3711700439453125
2017-06-15,4.4390997886657715
2017-06-16,4.4037699699401855
2017-06-19,4.500500202178955
2017-06-20,4.514830112457275
2017-06-21,4.472970008850098
2017-06-22,4.478400230407715
2017-06-23,4.4408698081970215
2017-06-26,4.442729949951172
2017-06-27,4.365600109100342
2017-06-28,4.319469928741455
2017-06-29,4.197000026702881
2017-06-30,4.22613000869751
2017-07-03,4.316669940948486
2017-07-04,4.279699802398682
2017-07-05,4.289330005645752
2017-07-06,4.236030101776123
2017-07-07,4.226830005645752
2017-07-10,4.249499797821045
2017-07-11,4.192800045013428
2017-07-12,4.282400131225586
2017-07-13,4.3196702003479
2017-07-14,4.2874298095703125
2017-07-17,4.311729907989502
2017-07-18,4.2192702293396
2017-07-19,4.295629978179932
2017-07-20,4.228630065917969
2017-07-21,4.208099842071533
2017-07-24,4.209969997406006
2017-07-25,4.241829872131348
2017-07-26,4.255730152130127
2017-07-27,4.245429992675781
2017-07-28,4.130199909210205
2017-07-31,4.1186699867248535
2017-08-01,4.111199855804443
2017-08-02,4.0619001388549805
2017-08-03,4.054200172424316
2017-08-04,4.15546989440918
2017-08-07,4.121469974517822
2017-08-08,4.203330039978027
2017-08-09,4.128530025482178
2017-08-10,4.087600231170654
2017-08-11,4.016829967498779
2017-08-14,4.105130195617676
2017-08-15,4.142199993133545
2017-08-16,4.179699897766113
2017-08-17,4.097829818725586
2017-08-18,4.0312299728393555
2017-08-21,3.952699899673462
2017-08-22,4.053199768066406
2017-08-23,4.026770114898682
2017-08-24,3.9983699321746826
2017-08-25,3.9752299785614014
2017-08-28,3.9092700481414795
2017-08-29,3.858030080795288
2017-08-30,3.9749999046325684
2017-08-31,4.038400173187256
2017-09-01,4.086599826812744
2017-09-04,4.029799938201904
2017-09-05,4.0167999267578125
2017-09-06,3.990000009536743
2017-09-07,3.9391300678253174
