Date,XD9U.DE
2017-01-02,56.04999923706055
2017-01-03,56.20000076293945
2017-01-04,56.310001373291016
2017-01-05,55.619998931884766
2017-01-06,56.09000015258789
2017-01-09,56.0
2017-01-10,56.02000045776367
2017-01-11,56.11000061035156
2017-01-12,55.18000030517578
2017-01-13,55.86000061035156
2017-01-16,55.84000015258789
2017-01-17,55.209999084472656
2017-01-18,55.34000015258789
2017-01-19,55.619998931884766
2017-01-20,55.5099983215332
2017-01-23,54.869998931884766
2017-01-24,55.11000061035156
2017-01-25,55.63999938964844
2017-01-26,56.16999816894531
2017-01-27,55.91999816894531
2017-01-30,55.38999938964844
2017-01-31,54.72999954223633
2017-02-01,55.16999816894531
2017-02-02,55.02000045776367
2017-02-03,55.5
2017-02-06,55.7400016784668
2017-02-07,55.9900016784668
2017-02-08,55.90999984741211
2017-02-09,56.4900016784668
2017-02-10,56.689998626708984
2017-02-13,57.2599983215332
2017-02-14,57.45000076293945
2017-02-15,57.7599983215332
2017-02-16,57.34000015258789
2017-02-17,57.54999923706055
2017-02-20,57.88999938964844
2017-02-21,58.439998626708984
2017-02-22,58.5099983215332
2017-02-23,58.2599983215332
2017-02-24,58.16999816894531
2017-02-27,58.189998626708984
2017-02-28,58.22999954223633
2017-03-01,59.18000030517578
2017-03-02,59.18000030517578
2017-03-03,58.849998474121094
2017-03-06,58.459999084472656
2017-03-07,58.4900016784668
2017-03-08,58.630001068115234
2017-03-09,58.43000030517578
2017-03-10,58.060001373291016
2017-03-13,58.060001373291016
2017-03-14,58.02000045776367
2017-03-15,58.400001525878906
2017-03-16,57.9900016784668
2017-03-17,57.939998626708984
2017-03-20,57.83000183105469
2017-03-21,56.939998626708984
2017-03-22,56.779998779296875
2017-03-23,57.15999984741211
2017-03-24,56.849998474121094
2017-03-27,56.18000030517578
2017-03-28,56.61000061035156
2017-03-29,57.34000015258789
2017-03-30,57.7599983215332
2017-03-31,57.939998626708984
2017-04-03,57.689998626708984
2017-04-04,57.849998474121094
2017-04-05,58.209999084472656
2017-04-06,57.97999954223633
2017-04-07,58.099998474121094
